刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
MICRO,"IEEE/ACM International Symposium on Microarchitecture","IEEE/ACM",https://dblp.uni-trier.de/db/conf/micro/index.html,A,Conference,1
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis","IEEE",http://dblp.uni-trier.de/db/conf/sc/,A,Conference,1
ASPLOS,"International Conference on Architectural Support for Programming Languages and Operating Systems","ACM",http://dblp.uni-trier.de/db/conf/asplos/,A,Conference,1
ISCA,"International Symposium on Computer Architecture","ACM /IEEE",http://dblp.uni-trier.de/db/conf/isca/,A,Conference,1
USENIX ATC,"USENIX Annual Technical Conference","USENIX",http://dblp.uni-trier.de/db/conf/usenix/index.html,A,Conference,1
EuroSys,"European Conference on Computer Systems","ACM",http://dblp.uni-trier.de/db/conf/eurosys/,A,Conference,1
SoCC,"ACM Symposium on Cloud Computing","ACM",http://dblp.uni-trier.de/db/conf/cloud/,B,Conference,1
SPAA,"ACM Symposium on Parallelism in Algorithms and Architectures","ACM",http://dblp.uni-trier.de/db/conf/spaa/,B,Conference,1
PODC,"ACM Symposium on Principles of Distributed Computing","ACM",http://dblp.uni-trier.de/db/conf/podc/,B,Conference,1
FPGA,"ACM/SIGDA International Symposium on Field-Programmable Gate Arrays","ACM",http://dblp.uni-trier.de/db/conf/fpga/,B,Conference,1
CGO,"The International Symposium on Code Generation and Optimization","IEEE/ACM",http://dblp.uni-trier.de/db/conf/cgo/,B,Conference,1
DATE,"Design, Automation & Test in Europe","IEEE/ACM",http://dblp.uni-trier.de/db/conf/date/,B,Conference,1
HOT CHIPS,"Hot Chips: A Symposium on High Performance Chips","IEEE",https://dblp.org/db/conf/hotchips/index.html,B,Conference,1
CLUSTER,"IEEE International Conference on Cluster Computing","IEEE",https://dblp.uni-trier.de/db/conf/cluster/,B,Conference,1
ICCD,"International Conference on Computer Design","IEEE",http://dblp.uni-trier.de/db/conf/iccd/,B,Conference,1
ICCAD,"International Conference on Computer-Aided Design","IEEE/ACM",http://dblp.uni-trier.de/db/conf/iccad/,B,Conference,1
ICDCS,"IEEE International Conference on Distributed Computing Systems","IEEE",http://dblp.uni-trier.de/db/conf/icdcs/,B,Conference,1
CODES+ISSS,"International Conference on Hardware/Software Co-design and System Synthesis","ACM/ IEEE",https://dblp.uni-trier.de/db/conf/codesisss/index.html,B,Conference,1
HiPEAC,"International Conference on High Performance and Embedded Architectures and Compilers","ACM",http://dblp.uni-trier.de/db/conf/hipeac/,B,Conference,1
SIGMETRICS,"International Conference on Measurement and Modeling of Computer Systems","ACM",http://dblp.uni-trier.de/db/conf/sigmetrics/,B,Conference,1
PACT,"International Conference on Parallel Architectures and Compilation Techniques","IEEE/ACM",http://dblp.uni-trier.de/db/conf/IEEEpact/,B,Conference,1
ICPP,"International Conference on Parallel Processing","ACM",http://dblp.uni-trier.de/db/conf/icpp/,B,Conference,1
ICS,"International Conference on Supercomputing","ACM",http://dblp.uni-trier.de/db/conf/ics/,B,Conference,1
VEE,"International Conference on Virtual Execution Environments","ACM",http://dblp.uni-trier.de/db/conf/vee/,B,Conference,1
IPDPS,"IEEE International Parallel & Distributed Processing Symposium","IEEE",http://dblp.uni-trier.de/db/conf/ipps/,B,Conference,1
Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation","ACM",http://dblp.uni-trier.de/db/conf/performance/,B,Conference,1
HPDC,"The International ACM Symposium on High-Performance Parallel and Distributed Computing","IEEE",http://dblp.uni-trier.de/db/conf/hpdc/,B,Conference,1
ITC,"International Test Conference","IEEE",http://dblp.uni-trier.de/db/conf/itc/,B,Conference,1
LISA,"Large Installation System Administration Conference","USENIX",http://dblp.uni-trier.de/db/conf/lisa/,B,Conference,1
MSST,"Mass Storage Systems and Technologies","IEEE",http://dblp.uni-trier.de/db/conf/mss/,B,Conference,1
RTAS,"IEEE Real-Time and Embedded Technology and Applications Symposium","IEEE",http://dblp.uni-trier.de/db/conf/rtas/,B,Conference,1
Euro-Par,"European Conference on Parallel and Distributed Computing","Springer",http://dblp.uni-trier.de/db/conf/europar/,B,Conference,1
CF,"ACM International Conference on Computing Frontiers","ACM",http://dblp.uni-trier.de/db/conf/cf,C,Conference,1
SYSTOR,"ACM International Systems and Storage Conference","ACM",http://dblp.uni-trier.de/db/conf/systor/index.html,C,Conference,1
NOCS,"ACM/IEEE International Symposium on Networks-on-Chip","ACM/IEEE",http://dblp.uni-trier.de/db/conf/nocs,C,Conference,1
ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors","IEEE",http://dblp.uni-trier.de/db/conf/asap,C,Conference,1
ASP-DAC,"Asia and South Pacific Design Automation Conference","ACM/IEEE",http://dblp.uni-trier.de/db/conf/aspdac,C,Conference,1
ETS,"IEEE European Test Symposium","IEEE",http://dblp.uni-trier.de/db/conf/ets/,C,Conference,1
FPL,"International Conference on Field-Programmable Logic and Applications","IEEE",http://dblp.uni-trier.de/db/conf/fpl/,C,Conference,1
FCCM,"IEEE Symposium on Field-Programmable Custom Computing Machines","IEEE",http://dblp.uni-trier.de/db/conf/fccm/,C,Conference,1
GLSVLSI,"Great Lakes Symposium on VLSI","ACM/IEEE",http://dblp.uni-trier.de/db/conf/glvlsi/,C,Conference,1
ATS,"IEEE Asian Test Symposium","IEEE",http://dblp.uni-trier.de/db/conf/ats/,C,Conference,1
HPCC,"IEEE International Conference on High Performance Computing and Communications","IEEE",http://dblp.uni-trier.de/db/conf/hpcc/,C,Conference,1
HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics","IEEE/ ACM",http://dblp.uni-trier.de/db/conf/hipc/index.html,C,Conference,1
MASCOTS,"International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems","IEEE",http://dblp.uni-trier.de/db/conf/mascots/,C,Conference,1
ISPA,"IEEE International Symposium on Parallel and Distributed Processing with Applications","IEEE",http://dblp.uni-trier.de/db/conf/ispa/,C,Conference,1
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing","ACM/IEEE",http://dblp.uni-trier.de/db/conf/ccgrid/,C,Conference,1
NPC,"IFIP International Conference on Network and Parallel Computing","Springer",http://dblp.uni-trier.de/db/conf/npc/,C,Conference,1
ICA3PP,"International Conference on Algorithms and Architectures for Parallel Processing","IEEE",http://dblp.uni-trier.de/db/conf/ica3pp/,C,Conference,1
CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems","ACM",http://dblp.uni-trier.de/db/conf/cases/index.html,C,Conference,1
FPT,"International Conference on Field-Programmable Technology","IEEE",http://dblp.uni-trier.de/db/conf/fpt/,C,Conference,1
ICPADS,"International Conference on Parallel and Distributed Systems","IEEE",http://dblp.uni-trier.de/db/conf/icpads/,C,Conference,1
ISCAS,"IEEE International Symposium on Circuits and Systems","IEEE",http://dblp.uni-trier.de/db/conf/iscas/,C,Conference,1
ISLPED,"International Symposium on Low Power Electronics and Design","ACM/IEEE",http://dblp.uni-trier.de/db/conf/islped/,C,Conference,1
ISPD,"International Symposium on Physical Design","ACM",http://dblp.uni-trier.de/db/conf/ispd/,C,Conference,1
HOTI,"IEEE Symposium on High-Performance Interconnects","IEEE",http://dblp.uni-trier.de/db/conf/hoti/,C,Conference,1
VTS,"IEEE VLSI Test Symposium","IEEE",http://dblp.uni-trier.de/db/conf/vts/,C,Conference,1
ITC-Asia,"International Test Conference in Asia","IEEE",https://dblp.org/db/conf/itc-asia/index.html,C,Conference,1
JSAC,"IEEE Journal on Selected Areas in Communications","IEEE",http://dblp.uni-trier.de/db/journals/jsac/,A,Journal,2
TMC,"IEEE Transactions on Mobile Computing","IEEE",http://dblp.uni-trier.de/db/journals/tmc/,A,Journal,2
TON,"IEEE/ACM Transactions on Networking","IEEE/ACM",http://dblp.uni-trier.de/db/journals/ton/,A,Journal,2
TOIT,"ACM Transactions on Internet Technology","ACM",http://dblp.uni-trier.de/db/journals/toit/,B,Journal,2
TOMM,"Transactions on Multimedia Computing, Communications and Applications","ACM",http://dblp.uni-trier.de/db/journals/tomccap/,B,Journal,2
TOSN,"ACM Transactions on Sensor Networks","ACM",http://dblp.uni-trier.de/db/journals/tosn/,B,Journal,2
CN,"Computer Networks","Elsevier",http://dblp.uni-trier.de/db/journals/cn/,B,Journal,2
TCOM,"IEEE Transactions on Communications","IEEE",http://dblp.uni-trier.de/db/journals/tcom/,B,Journal,2
TWC,"IEEE Transactions on Wireless Communications","IEEE",http://dblp.uni-trier.de/db/journals/twc/,B,Journal,2
,"Ad Hoc Networks","Elsevier",http://dblp.uni-trier.de/db/journals/adhoc/,C,Journal,2
CC,"Computer Communications","Elsevier",http://dblp.uni-trier.de/db/journals/comcom/,C,Journal,2
TNSM,"IEEE Transactions on Network and Service Management","IEEE",http://dblp.uni-trier.de/db/journals/tnsm/,C,Journal,2
,"IET Communications","IET",http://dblp.uni-trier.de/db/journals/iet-com/,C,Journal,2
JNCA,"Journal of Network and Computer Applications","Elsevier",http://dblp.uni-trier.de/db/journals/jnca/,C,Journal,2
MONET,"Mobile Networks and Applications","Springer",http://dblp.uni-trier.de/db/journals/monet/,C,Journal,2
,"Networks","Wiley",http://dblp.uni-trier.de/db/journals/networks/,C,Journal,2
PPNA,"Peer-to-Peer Networking and Applications","Springer",http://dblp.uni-trier.de/db/journals/ppna/,C,Journal,2
WCMC,"Wireless Communications and Mobile Computing","Wiley",http://dblp.uni-trier.de/db/journals/wicomm/,C,Journal,2
,"Wireless Networks","Springer",http://dblp.uni-trier.de/db/journals/winet/,C,Journal,2
IOT,"IEEE Internet of Things Journal","IEEE",https://dblp.org/db/journals/iotj/index.html,C,Journal,2
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","ACM",http://dblp.uni-trier.de/db/conf/sigcomm/index.html,A,Conference,2
MobiCom,"ACM International Conference on Mobile Computing and Networking","ACM",http://dblp.uni-trier.de/db/conf/mobicom/,A,Conference,2
INFOCOM,"IEEE International Conference on Computer Communications","IEEE",http://dblp.uni-trier.de/db/conf/infocom/,A,Conference,2
NSDI,"Symposium on Network System Design and Implementation","USENIX",http://dblp.uni-trier.de/db/conf/nsdi/,A,Conference,2
SenSys,"ACM Conference on Embedded Networked Sensor Systems","ACM",http://dblp.uni-trier.de/db/conf/sensys/,B,Conference,2
CoNEXT,"Conference on Emerging Networking Experiments and Technologies","ACM",http://dblp.uni-trier.de/db/conf/conext/,B,Conference,2
SECON,"IEEE International Conference on Sensing, Communication, and Networking","IEEE",http://dblp.uni-trier.de/db/conf/secon/,B,Conference,2
IPSN,"International Conference on Information Processing in Sensor Networks","IEEE/ACM",http://dblp.uni-trier.de/db/conf/ipsn/,B,Conference,2
MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services","ACM",http://dblp.uni-trier.de/db/conf/mobisys/,B,Conference,2
ICNP,"IEEE International Conference on Network Protocols","IEEE",http://dblp.uni-trier.de/db/conf/icnp/,B,Conference,2
MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing","ACM/IEEE",http://dblp.uni-trier.de/db/conf/mobihoc/,B,Conference,2
NOSSDAV,"International Workshop on Network and Operating System Support for Digital Audio and Video","ACM",http://dblp.uni-trier.de/db/conf/nossdav/,B,Conference,2
IWQoS,"IEEE/ACM International Workshop on Quality of Service","IEEE",http://dblp.uni-trier.de/db/conf/iwqos/,B,Conference,2
IMC,"ACM Internet Measurement Conference","ACM/USENIX",http://dblp.uni-trier.de/db/conf/imc/,B,Conference,2
ANCS,"ACM/IEEE Symposium on Architectures for Networking and Communication Systems","ACM/IEEE",http://dblp.uni-trier.de/db/conf/ancs/,C,Conference,2
APNOMS,"Asia-Pacific Network Operations and Management Symposium","IFIP/IEEE",http://dblp.uni-trier.de/db/conf/apnoms/,C,Conference,2
FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems","Springer",http://dblp.uni-trier.de/db/conf/forte/,C,Conference,2
LCN,"IEEE Conference on Local Computer Networks","IEEE",http://dblp.uni-trier.de/db/conf/lcn/,C,Conference,2
GLOBECO,"IEEE Global Communications Conference","IEEE",http://dblp.uni-trier.de/db/conf/globecom/,C,Conference,2
ICC,"IEEE International Conference on Communications","IEEE",http://dblp.uni-trier.de/db/conf/icc/,C,Conference,2
ICCCN,"IEEE International Conference on Computer Communications and Networks","IEEE",http://dblp.uni-trier.de/db/conf/icccn/,C,Conference,2
MASS,"IEEE International Conference on Mobile Adhoc and Sensor Systems","IEEE",http://dblp.uni-trier.de/db/conf/mass/index.html,C,Conference,2
P2P,"IEEE International Conference on Peer-to-Peer Computing","IEEE",http://dblp.uni-trier.de/db/conf/p2p/,C,Conference,2
IPCCC,"IEEE International Performance Computing and Communications Conference","IEEE",http://dblp.uni-trier.de/db/conf/ipccc/,C,Conference,2
WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks","IEEE",http://dblp.uni-trier.de/db/conf/wowmom/,C,Conference,2
ISCC,"IEEE Symposium on Computers and Communications","IEEE",http://dblp.uni-trier.de/db/conf/iscc/,C,Conference,2
WCNC,"IEEE Wireless Communications and Networking Conference","IEEE",http://dblp.uni-trier.de/db/conf/wcnc/,C,Conference,2
Networking,"IFIP International Conferences on Networking","http://dblp.uni-<br>trier.de/db/conf/networking/index.html",IFIP,C,Conference,2
IM,"IFIP/IEEE International Symposium on Integrated Network<br>Management","IFIP/IEEE",http://dblp.uni-trier.de/db/conf/im/index.html,C,Conference,2
MSN,"International Conference on Mobility, Sensing and Networking","http://dblp.uni-trier.de/db/conf/msn/",IEEE,C,Conference,2
MSWiM,"International Conference on Modeling, Analysis and Simulation of<br>Wireless and Mobile Systems","http://dblp.uni-trier.de/db/conf/mswim/",ACM,C,Conference,2
WASA,"International Conference on Wireless Algorithms, Systems, and<br>Applications","http://dblp.uni-trier.de/db/conf/wasa/",Springer,C,Conference,2
HotNets,"ACM The Workshop on Hot Topics in Networks","http://dblp.uni-trier.de/db/conf/hotnets/",,C,Conference,2
,"Asia-Pacific Workshop on Networking","ACM",https://dblp.org/db/conf/apnet/index.html,C,Conference,2
TDSC,"IEEE Transactions on Dependable and Secure Computing","IEEE",http://dblp.uni-trier.de/db/journals/tdsc/,A,Journal,3
TIFS,"IEEE Transactions on Information Forensics and Security","IEEE",http://dblp.uni-trier.de/db/journals/tifs/,A,Journal,3
,"Journal of Cryptology","Springer",http://dblp.uni-trier.de/db/journals/joc/,A,Journal,3
TOPS,"ACM Transactions on Privacy and Security","ACM",https://dblp.org/db/journals/tissec/index.htm,B,Journal,3
,"Computers & Security","Elsevier",http://dblp.uni-trier.de/db/journals/compsec/,B,Journal,3
,"Designs, Codes and Cryptography","Springer",http://dblp.uni-trier.de/db/journals/dcc/,B,Journal,3
JCS,"Journal of Computer Security","IOS Press",http://dblp.uni-trier.de/db/journals/jcs/,B,Journal,3
CLSR,"Computer Law & Security Review","Elsevier",https://dblp.org/db/journals/clsr/index.html,C,Journal,3
,"EURASIP Journal on Information Security","Springer",http://dblp.uni-trier.de/db/journals/ejisec/,C,Journal,3
,"IET Information Security","IET",http://dblp.uni-trier.de/db/journals/iet-ifs/,C,Journal,3
IMCS,"Information and Computer Security","Emerald",http://dblp.uni-trier.de/db/journals/imcs/,C,Journal,3
IJICS,"International Journal of Information and Computer Security","Inderscience",http://dblp.uni-trier.de/db/journals/ijics/,C,Journal,3
IJISP,"International Journal of Information Security and Privacy","IGI Global",http://dblp.uni-trier.de/db/journals/ijisp/,C,Journal,3
JISA,"Journal of Information Security and Applications","Elsevier",https://dblp.uni-trier.de/db/journals/istr/,C,Journal,3
SCN,"Security and Communication Networks","Wiley",http://dblp.uni-trier.de/db/journals/scn/,C,Journal,3
,"Cybersecurity","Springer",https://dblp.uni-trier.de/db/journals/cybersec/index.html,C,Journal,3
CCS,"ACM Conference on Computer and Communications Security","ACM",http://dblp.uni-trier.de/db/conf/ccs/,A,Conference,3
EUROCRYPT,"International Conference on the Theory and Applications of Cryptographic Techniques","Springer",http://dblp.uni-trier.de/db/conf/eurocrypt/,A,Conference,3
S&P,"IEEE Symposium on Security and Privacy","IEEE",http://dblp.uni-trier.de/db/conf/sp/,A,Conference,3
CRYPTO,"International Cryptology Conference","Springer",http://dblp.uni-trier.de/db/conf/crypto/,A,Conference,3
USENIX Security,"USENIX Security Symposium","USENIX Association",http://dblp.uni-trier.de/db/conf/uss/,A,Conference,3
NDSS,"Network and Distributed System Security Symposium","ISOC",http://dblp.uni-trier.de/db/conf/ndss/,A,Conference,3
ACSAC,"Annual Computer Security Applications Conference","IEEE",http://dblp.uni-trier.de/db/conf/acsac/,B,Conference,3
ASIACRYPT,"Annual International Conference on the Theory and Application of Cryptology and Information Security","Springer",http://dblp.uni-trier.de/db/conf/asiacrypt/,B,Conference,3
ESORICS,"European Symposium on Research in Computer Security","Springer",http://dblp.uni-trier.de/db/conf/esorics/,B,Conference,3
FSE,"Fast Software Encryption","Springer",http://dblp.uni-trier.de/db/conf/fse/,B,Conference,3
CSFW,"IEEE Computer Security Foundations Workshop","IEEE",http://dblp.uni-trier.de/db/conf/csfw/,B,Conference,3
SRDS,"IEEE International Symposium on Reliable Distributed Systems","IEEE",http://dblp.uni-trier.de/db/conf/srds/,B,Conference,3
CHES,"International Conference on Cryptographic Hardware and Embedded Systems","Springer",http://dblp.uni-trier.de/db/conf/ches/,B,Conference,3
DSN,"International Conference on Dependable Systems and Networks","IEEE/IFIP",http://dblp.uni-trier.de/db/conf/dsn/,B,Conference,3
RAID,"International Symposium on Recent Advances in Intrusion Detection","Springer",http://dblp.uni-trier.de/db/conf/raid/,B,Conference,3
PKC,"International Workshop on Practice and Theory in Public Key Cryptography","Springer",http://dblp.uni-trier.de/db/conf/pkc/,B,Conference,3
TCC,"Theory of Cryptography Conference","Springer",http://dblp.uni-trier.de/db/conf/tcc/,B,Conference,3
WiSec,"ACM Conference on Security and Privacy in Wireless and Mobile Networks","ACM",http://dblp.uni-trier.de/db/conf/wisec/,C,Conference,3
SACMAT,"ACM Symposium on Access Control Models and Technologies","ACM",http://dblp.uni-trier.de/db/conf/sacmat/,C,Conference,3
DRM,"ACM Workshop on Digital Rights Management","ACM",http://dblp.uni-trier.de/db/conf/drm/,C,Conference,3
IH&MMSec,"ACM Workshop on Information Hiding and Multimedia Security","ACM",http://dblp.uni-trier.de/db/conf/ih/,C,Conference,3
ACNS,"International Conference on Applied Cryptography and Network Security","Springer",http://dblp.uni-trier.de/db/conf/acns/,C,Conference,3
AsiaCCS,"ACM Asia Conference on Computer and Communications Security","ACM",http://dblp.uni-trier.de/db/conf/ccs/,C,Conference,3
ACISP,"Australasia Conference on Information Security and Privacy","Springer",http://dblp.uni-trier.de/db/conf/acisp/,C,Conference,3
CT-RSA,"The Cryptographer's Track at RSA Conference","Springer",http://dblp.uni-trier.de/db/conf/ctrsa/,C,Conference,3
DIMVA,"Conference on Detection of Intrusions and Malware & Vulnerability Assessment","",http://dblp.uni-trier.de/db/conf/dimva/,C,Conference,3
DFRWS,"Digital Forensic Research Workshop","Elsevier",http://dblp.uni-trier.de/db/conf/dfrws/,C,Conference,3
FC,"Financial Cryptography and Data Security","Springer",http://dblp.uni-trier.de/db/conf/fc/,C,Conference,3
TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications","IEEE",http://dblp.uni-trier.de/db/conf/trustcom/,C,Conference,3
SEC,"IFIP International Information Security Conference","Springer",http://dblp.uni-trier.de/db/conf/sec/,C,Conference,3
IFIP WG 11.9,"IFIP Working Group 11.9 International Conference on Digital Forensics","Springer",https://dblp.org/db/conf/ifip11-9/index.html,C,Conference,3
ISC,"Information Security Conference","Springer",http://dblp.uni-trier.de/db/conf/isw/,C,Conference,3
ICDF2C,"International Conference on Digital Forensics & Cyber Crime","Springer",http://dblp.uni-trier.de/db/conf/icdf2c/,C,Conference,3
ICICS,"International Conference on Information and Communications Security","Springer",http://dblp.uni-trier.de/db/conf/icics/,C,Conference,3
SecureComm,"International Conference on Security and Privacy in Communication Networks","ACM",http://dblp.uni-trier.de/db/conf/securecomm/,C,Conference,3
NSPW,"New Security Paradigms Workshop","ACM",http://dblp.uni-trier.de/db/conf/nspw/,C,Conference,3
PAM,"Passive and Active Measurement Conference","Springer",http://dblp.uni-trier.de/db/conf/pam/,C,Conference,3
PETS,"Privacy Enhancing Technologies Symposium","Springer",http://dblp.uni-trier.de/db/conf/pet/,C,Conference,3
SAC,"Selected Areas in Cryptography","Springer",http://dblp.uni-trier.de/db/conf/sacrypt/,C,Conference,3
SOUPS,"Symposium On Usable Privacy and Security","USENIX",http://dblp.uni-trier.de/db/conf/soups/,C,Conference,3
EuroS&P,"IEEE European Symposium on Security and Privacy","IEEE",https://dblp.org/db/conf/eurosp/index.html,C,Conference,3
Inscrypt,"International Conference on Information Security and Cryptology","Springer",https://dblp.org/db/conf/cisc/index.html,C,Conference,3
TOPLAS,"ACM Transactions on Programming Languages and Systems","ACM",http://dblp.uni-trier.de/db/journals/toplas/,A,Journal,4
TOSEM,"ACM Transactions on Software Engineering and Methodology","ACM",http://dblp.uni-trier.de/db/journals/tosem/,A,Journal,4
TSE,"IEEE Transactions on Software Engineering","IEEE",http://dblp.uni-trier.de/db/journals/tse/,A,Journal,4
TSC,"IEEE Transactions on Services Computing","IEEE",http://dblp.uni-trier.de/db/journals/tsc/,A,Journal,4
ASE,"Automated Software Engineering","Springer",http://dblp.uni-trier.de/db/journals/ase/,B,Journal,4
ESE,"Empirical Software Engineering","Springer",http://dblp.uni-trier.de/db/journals/ese/,B,Journal,4
IETS,"IET Software","IET",https://dblp.uni-trier.de/db/journals/iet-sen/,B,Journal,4
IST,"Information and Software Technology","Elsevier",http://dblp.uni-trier.de/db/journals/infsof/index.html,B,Journal,4
JFP,"Journal of Functional Programming","Cambridge University Press",http://dblp.uni-trier.de/db/journals/jfp/,B,Journal,4
,"Journal of Software: Evolution and Process","Wiley",http://dblp.uni-trier.de/db/journals/smr/,B,Journal,4
JSS,"Journal of Systems and Software","Elsevier",http://dblp.uni-trier.de/db/journals/jss/,B,Journal,4
RE,"Requirements Engineering","Springer",http://dblp.uni-trier.de/db/journals/re/,B,Journal,4
SCP,"Science of Computer Programming","Elsevier",http://dblp.uni-trier.de/db/journals/scp/,B,Journal,4
SoSyM,"Software and Systems Modeling","Springer",http://dblp.uni-trier.de/db/journals/sosym/,B,Journal,4
STVR,"Software Testing, Verification and Reliability","Wiley",http://dblp.uni-trier.de/db/journals/stvr/index.html,B,Journal,4
SPE,"Software: Practice and Experience","Wiley",http://dblp.uni-trier.de/db/journals/spe/,B,Journal,4
CL,"Computer Languages, Systems and Structures","Elsevier",http://dblp.uni-trier.de/db/journals/cl/index.html,C,Journal,4
IJSEKE,"International Journal of Software Engineering and Knowledge Engineering","World Scientific",http://dblp.uni-trier.de/db/journals/ijseke/index.html,C,Journal,4
STTT,"International Journal of Software Tools for Transfer Technology","Springer",http://dblp.uni-trier.de/db/journals/sttt/,C,Journal,4
JLAMP,"Journal of Logical and Algebraic Methods in Programming","Elsevier",https://dblp.uni-trier.de/db/journals/jlap/index.html,C,Journal,4
JWE,"Journal of Web Engineering","Rinton Press",http://dblp.uni-trier.de/db/journals/jwe/,C,Journal,4
SOCA,"Service Oriented Computing and Applications","Springer",http://dblp.uni-trier.de/db/journals/soca/,C,Journal,4
SQJ,"Software Quality Journal","Springer",http://dblp.uni-trier.de/db/journals/sqj/,C,Journal,4
TPLP,"Theory and Practice of Logic Programming","Cambridge University Press",http://dblp.uni-trier.de/db/journals/tplp/,C,Journal,4
PACM PL,"Proceedings of the ACM on Programming Languages","ACM",https://dblp.org/db/journals/pacmpl/index.htm,C,Journal,4
PLDI,"ACM SIGPLAN Conference on Programming Language Design and Implementation","ACM",http://dblp.uni-trier.de/db/conf/pldi/,A,Conference,4
